epoch  0 ; loss =  98.6114390755
epoch  1 ; loss =  52.9817356995
epoch  2 ; loss =  38.0577289845
epoch  3 ; loss =  29.6726654339
epoch  4 ; loss =  24.4248601257
epoch  5 ; loss =  20.9254593107
epoch  6 ; loss =  18.4668017987
epoch  7 ; loss =  16.6575407844
epoch  8 ; loss =  15.2724852425
epoch  9 ; loss =  14.1784487842
epoch  10 ; loss =  13.2912752402
epoch  11 ; loss =  12.5557864805
epoch  12 ; loss =  11.9351692021
epoch  13 ; loss =  11.4043359523
epoch  14 ; loss =  10.9447035611
epoch  15 ; loss =  10.5420739884
epoch  16 ; loss =  10.1865101919
epoch  17 ; loss =  9.86995442044
epoch  18 ; loss =  9.58614299964
epoch  19 ; loss =  9.3299790583
epoch  20 ; loss =  9.09731533204
epoch  21 ; loss =  8.88508904702
epoch  22 ; loss =  8.69042986408
epoch  23 ; loss =  8.51111056069
epoch  24 ; loss =  8.3454185817
epoch  25 ; loss =  8.1915345989
epoch  26 ; loss =  8.04821053225
epoch  27 ; loss =  7.91428294443
epoch  28 ; loss =  7.78866153079
epoch  29 ; loss =  7.67069645643
epoch  30 ; loss =  7.5594580414
epoch  31 ; loss =  7.45434801311
epoch  32 ; loss =  7.35485543298
epoch  33 ; loss =  7.26042959944
epoch  34 ; loss =  7.17067320409
epoch  35 ; loss =  7.08525274398
epoch  36 ; loss =  7.00358539287
epoch  37 ; loss =  6.92569404239
epoch  38 ; loss =  6.85110125418
epoch  39 ; loss =  6.77952902461
epoch  40 ; loss =  6.710873823
epoch  41 ; loss =  6.64484482883
epoch  42 ; loss =  6.58140630475
epoch  43 ; loss =  6.52024071292
epoch  44 ; loss =  6.4612472662
epoch  45 ; loss =  6.40434821882
epoch  46 ; loss =  6.34933369167
epoch  47 ; loss =  6.29608373889
epoch  48 ; loss =  6.24459859755
epoch  49 ; loss =  6.19470756336
epoch  50 ; loss =  6.14634590946
epoch  51 ; loss =  6.09934800022
epoch  52 ; loss =  6.05380674467
epoch  53 ; loss =  6.00948244763
epoch  54 ; loss =  5.96648868841
epoch  55 ; loss =  5.92459456034
epoch  56 ; loss =  5.88380047155
epoch  57 ; loss =  5.84408076421
epoch  58 ; loss =  5.80538185804
epoch  59 ; loss =  5.76766534566
epoch  60 ; loss =  5.73083917827
epoch  61 ; loss =  5.69492627152
epoch  62 ; loss =  5.65987158028
epoch  63 ; loss =  5.6256219633
epoch  64 ; loss =  5.59214043549
epoch  65 ; loss =  5.55937470689
epoch  66 ; loss =  5.52741956917
epoch  67 ; loss =  5.49605777078
epoch  68 ; loss =  5.46545763936
epoch  69 ; loss =  5.43543109701
epoch  70 ; loss =  5.40605397321
epoch  71 ; loss =  5.37727968974
epoch  72 ; loss =  5.34895213124
epoch  73 ; loss =  5.32137897928
epoch  74 ; loss =  5.29420256409
epoch  75 ; loss =  5.2676542403
epoch  76 ; loss =  5.24149415747
epoch  77 ; loss =  5.21588732873
epoch  78 ; loss =  5.19075020658
epoch  79 ; loss =  5.16604119556
epoch  80 ; loss =  5.14174624822
epoch  81 ; loss =  5.11791282325
epoch  82 ; loss =  5.0944605705
epoch  83 ; loss =  5.07147795117
epoch  84 ; loss =  5.04881988066
epoch  85 ; loss =  5.02654741683
epoch  86 ; loss =  5.00464605014
epoch  87 ; loss =  4.98318342654
epoch  88 ; loss =  4.96195633885
